,Date,Open
304,2021-03-06,48899.230469
305,2021-03-07,48918.679688
306,2021-03-08,51174.117188
307,2021-03-09,52272.96875
308,2021-03-10,54824.011719
309,2021-03-11,55963.179688
310,2021-03-12,57821.21875
311,2021-03-13,57343.371094
312,2021-03-14,61221.132813
313,2021-03-15,59267.429688
314,2021-03-16,55840.785156
315,2021-03-17,56825.828125
316,2021-03-18,58893.078125
317,2021-03-19,57850.441406
318,2021-03-20,58332.261719
319,2021-03-21,58309.914063
320,2021-03-22,57517.890625
321,2021-03-23,54511.660156
322,2021-03-24,54710.488281
323,2021-03-25,52726.746094
324,2021-03-26,51683.011719
325,2021-03-27,55137.566406
326,2021-03-28,55974.941406
327,2021-03-29,55947.898438
328,2021-03-30,57750.132813
329,2021-03-31,58930.277344
330,2021-04-01,58926.5625
331,2021-04-02,59098.878906
332,2021-04-03,59397.410156
333,2021-04-04,57604.839844
334,2021-04-05,58760.875
335,2021-04-06,59171.933594
336,2021-04-07,58186.507813
337,2021-04-08,56099.914063
338,2021-04-09,58326.5625
339,2021-04-10,58253.777344
340,2021-04-11,59846.230469
341,2021-04-12,60175.945313
342,2021-04-13,59890.019531
343,2021-04-14,63523.753906
344,2021-04-15,63075.195313
345,2021-04-16,63258.503906
346,2021-04-17,61529.921875
347,2021-04-18,60701.886719
348,2021-04-19,56191.585938
349,2021-04-20,55681.792969
350,2021-04-21,56471.128906
351,2021-04-22,53857.105469
352,2021-04-23,51739.808594
353,2021-04-24,51143.226563
354,2021-04-25,50052.832031
355,2021-04-26,49077.792969
356,2021-04-27,54030.304688
357,2021-04-28,55036.636719
358,2021-04-29,54858.089844
359,2021-04-30,53568.664063
360,2021-05-01,57714.664063
361,2021-05-02,57825.863281
362,2021-05-03,56620.273438
363,2021-05-04,57214.179688
364,2021-05-05,53252.164063
365,2021-05-06,57441.308594
366,2021-05-07,56413.953125
367,2021-05-08,57352.765625
368,2021-05-09,58877.390625
369,2021-05-10,58250.871094
370,2021-05-11,55847.242188
371,2021-05-12,56714.53125
372,2021-05-13,49735.433594
373,2021-05-14,49682.980469
374,2021-05-15,49855.496094
375,2021-05-16,46716.636719
376,2021-05-17,46415.898438
377,2021-05-18,43488.058594
378,2021-05-19,42944.976563
379,2021-05-20,36753.667969
380,2021-05-21,40596.949219
381,2021-05-22,37371.03125
382,2021-05-23,37531.449219
383,2021-05-24,34700.363281
384,2021-05-25,38795.78125
385,2021-05-26,38392.625
386,2021-05-27,39316.890625
387,2021-05-28,38507.082031
388,2021-05-29,35684.15625
389,2021-05-30,34607.40625
390,2021-05-31,35658.59375
391,2021-06-01,37293.792969
392,2021-06-02,36699.921875
393,2021-06-03,37599.410156
394,2021-06-04,39242.484375
395,2021-06-05,36880.15625
396,2021-06-06,35538.609375
397,2021-06-07,35835.265625
398,2021-06-08,33589.519531
399,2021-06-09,33416.976563
400,2021-06-10,37389.515625
401,2021-06-11,36697.03125
402,2021-06-12,37340.144531
403,2021-06-13,35555.789063
404,2021-06-14,39016.96875
405,2021-06-15,40427.167969
406,2021-06-16,40168.691406
407,2021-06-17,38341.421875
408,2021-06-18,38099.476563
409,2021-06-19,35854.527344
410,2021-06-20,35563.140625
411,2021-06-21,35641.144531
412,2021-06-22,31622.376953
413,2021-06-23,32515.714844
414,2021-06-24,33682.800781
415,2021-06-25,34659.105469
416,2021-06-26,31594.664063
417,2021-06-27,32287.523438
418,2021-06-28,34679.121094
419,2021-06-29,34475.558594
420,2021-06-30,35908.386719
421,2021-07-01,35035.984375
422,2021-07-02,33549.601563
423,2021-07-03,33854.421875
424,2021-07-04,34665.566406
425,2021-07-05,35284.34375
426,2021-07-06,33723.507813
427,2021-07-07,34225.679688
428,2021-07-08,33889.605469
429,2021-07-09,32861.671875
430,2021-07-10,33811.242188
431,2021-07-11,33509.078125
432,2021-07-12,34254.015625
433,2021-07-13,33125.46875
434,2021-07-14,32723.845703
435,2021-07-15,32827.875
436,2021-07-16,31841.550781
437,2021-07-17,31397.308594
438,2021-07-18,31533.884766
439,2021-07-19,31800.011719
440,2021-07-20,30838.285156
441,2021-07-21,29796.285156
442,2021-07-22,32138.873047
443,2021-07-23,32305.958984
444,2021-07-24,33593.730469
445,2021-07-25,34290.292969
446,2021-07-26,35384.03125
447,2021-07-27,37276.035156
448,2021-07-28,39503.1875
449,2021-07-29,39995.453125
450,2021-07-30,40027.484375
451,2021-07-31,42196.304688
452,2021-08-01,41460.84375
453,2021-08-02,39907.261719
454,2021-08-03,39178.402344
455,2021-08-04,38213.332031
456,2021-08-05,39744.515625
457,2021-08-06,40865.867188
458,2021-08-07,42832.796875
459,2021-08-08,44574.4375
460,2021-08-09,43791.925781
461,2021-08-10,46280.847656
462,2021-08-11,45599.703125
463,2021-08-12,45576.878906
464,2021-08-13,44439.691406
465,2021-08-14,47810.6875
466,2021-08-15,47096.667969
467,2021-08-16,47019.960938
468,2021-08-17,45936.457031
469,2021-08-18,44686.75
470,2021-08-19,44741.882813
471,2021-08-20,46723.121094
472,2021-08-21,49327.074219
473,2021-08-22,48869.105469
474,2021-08-23,49291.675781
475,2021-08-24,49562.347656
476,2021-08-25,47727.257813
477,2021-08-26,49002.640625
478,2021-08-27,46894.554688
479,2021-08-28,49072.585938
480,2021-08-29,48911.25
481,2021-08-30,48834.851563
482,2021-08-31,47024.339844
483,2021-09-01,47099.773438
484,2021-09-02,48807.847656
485,2021-09-03,49288.25
486,2021-09-04,50009.324219
487,2021-09-05,49937.859375
488,2021-09-06,51769.003906
489,2021-09-07,52660.480469
490,2021-09-08,46827.761719
491,2021-09-09,45774.742188
492,2021-09-10,46396.664063
493,2021-09-11,44869.839844
494,2021-09-12,45206.628906
495,2021-09-13,46057.214844
496,2021-09-14,44960.050781
497,2021-09-15,47098.0
498,2021-09-16,48158.90625
499,2021-09-17,47771.003906
500,2021-09-18,47273.527344
501,2021-09-19,48268.855469
502,2021-09-20,47261.40625
503,2021-09-21,43012.234375
504,2021-09-22,40677.953125
505,2021-09-23,43560.296875
506,2021-09-24,44894.300781
507,2021-09-25,42840.890625
508,2021-09-26,42721.628906
509,2021-09-27,43234.183594
510,2021-09-28,42200.898438
511,2021-09-29,41064.984375
512,2021-09-30,41551.269531
513,2021-10-01,43816.742188
514,2021-10-02,48137.46875
515,2021-10-03,47680.027344
516,2021-10-04,48208.90625
517,2021-10-05,49174.960938
518,2021-10-06,51486.664063
519,2021-10-07,55338.625
520,2021-10-08,53802.144531
521,2021-10-09,53929.78125
522,2021-10-10,54952.820313
523,2021-10-11,54734.125
524,2021-10-12,57526.832031
525,2021-10-13,56038.257813
526,2021-10-14,57372.832031
527,2021-10-15,57345.902344
528,2021-10-16,61609.527344
529,2021-10-17,60887.652344
530,2021-10-18,61548.804688
531,2021-10-19,62043.164063
532,2021-10-20,64284.585938
533,2021-10-21,66002.234375
534,2021-10-22,62237.890625
535,2021-10-23,60694.628906
536,2021-10-24,61368.34375
537,2021-10-25,60893.925781
538,2021-10-26,63032.761719
539,2021-10-27,60352.0
540,2021-10-28,58470.730469
541,2021-10-29,60624.871094
542,2021-10-30,62239.363281
543,2021-10-31,61850.488281
544,2021-11-01,61320.449219
545,2021-11-02,60963.253906
546,2021-11-03,63254.335938
547,2021-11-04,62941.804688
548,2021-11-05,61460.078125
549,2021-11-06,61068.875
550,2021-11-07,61554.921875
551,2021-11-08,63344.066406
552,2021-11-09,67549.734375
553,2021-11-10,66953.335938
554,2021-11-11,64978.890625
555,2021-11-12,64863.980469
556,2021-11-13,64158.121094
557,2021-11-14,64455.371094
558,2021-11-15,65521.289063
559,2021-11-16,63721.195313
560,2021-11-17,60139.621094
561,2021-11-18,60360.136719
562,2021-11-19,56896.128906
563,2021-11-20,58115.082031
564,2021-11-21,59730.507813
565,2021-11-22,58706.847656
566,2021-11-23,56304.554688
567,2021-11-24,57565.851563
568,2021-11-25,57165.417969
569,2021-11-26,58960.285156
570,2021-11-27,53736.429688
571,2021-11-28,54813.023438
572,2021-11-29,57291.90625
573,2021-11-30,57830.113281
574,2021-12-01,56907.964844
575,2021-12-02,57217.371094
576,2021-12-03,56509.164063
577,2021-12-04,53727.878906
578,2021-12-05,49201.519531
579,2021-12-06,49413.480469
580,2021-12-07,50581.828125
581,2021-12-08,50667.648438
582,2021-12-09,50450.082031
583,2021-12-10,47642.144531
584,2021-12-11,47264.632813
585,2021-12-12,49354.855469
586,2021-12-13,50114.742188
587,2021-12-14,46709.824219
588,2021-12-15,48379.753906
589,2021-12-16,48900.464844
590,2021-12-17,47653.730469
591,2021-12-18,46219.253906
592,2021-12-19,46853.867188
593,2021-12-20,46707.0625
594,2021-12-21,46886.078125
595,2021-12-22,48937.097656
596,2021-12-23,48626.34375
597,2021-12-24,50806.050781
598,2021-12-25,50854.917969
599,2021-12-26,50428.691406
600,2021-12-27,50802.609375
601,2021-12-28,50679.859375
602,2021-12-29,47623.871094
603,2021-12-30,46490.605469
604,2021-12-31,47169.371094
605,2022-01-01,46311.746094
606,2022-01-02,47680.925781
607,2022-01-03,47343.542969
608,2022-01-04,46458.851563
609,2022-01-05,45899.359375
610,2022-01-06,43565.511719
611,2022-01-07,43153.570313
612,2022-01-08,41561.464844
613,2022-01-09,41734.726563
